COD. PRODUCTO,AÑO,MES,MES NUMERO,DESCRIPCION,CATEGORIA,UNIDADES VENDIDAS,VALOR,INVENTARIO FINAL
122014,2023,Enero,1,CARRETE  2.1   19 MM X 7000 LOOPS NEGRO,ANILLO DOBLE O,0,0,0
122015,2023,Enero,1,CARRETE  2.1   19 MM X 7000 LOOPS PLATA,ANILLO DOBLE O,0,0,20
122017,2023,Enero,1,CARRETE  3.1    8 MM X 60000 LOOPS BLANCO,ANILLO DOBLE O,1,461700,0
122018,2023,Enero,1,CARRETE  3.1    8 MM X 60000 LOOPS NEGRO,ANILLO DOBLE O,7,3221700,24
122019,2023,Enero,1,CARRETE  3.1    8 MM X 60000 LOOPS PLATA,ANILLO DOBLE O,1,558600,21
122020,2023,Enero,1,CARRETE  3.1    9 MM X 43000 LOOPS BLANCO,ANILLO DOBLE O,0,0,1
122021,2023,Enero,1,CARRETE  3.1    9 MM X 43000 LOOPS BRONCE,ANILLO DOBLE O,0,0,39
122022,2023,Enero,1,CARRETE  3.1    9 MM X 43000 LOOPS NEGRO,ANILLO DOBLE O,4,1626300,4
122023,2023,Enero,1,CARRETE  3.1    9 MM X 43000 LOOPS PLATA,ANILLO DOBLE O,0,0,32
122024,2023,Enero,1,CARRETE  3.1   11 MM X 32000 LOOPS BLANCO,ANILLO DOBLE O,0,0,0
122025,2023,Enero,1,CARRETE  3.1   11 MM X 32000 LOOPS NEGRO,ANILLO DOBLE O,1,395010,11
122026,2023,Enero,1,CARRETE  3.1   12 MM X 24000 LOOPS BLANCO,ANILLO DOBLE O,0,0,0
122027,2023,Enero,1,CARRETE  3.1   12 MM X 24000 LOOPS NEGRO,ANILLO DOBLE O,0,0,1
122028,2023,Enero,1,CARRETE  3.1   12 MM X 24000 LOOPS PLATA,ANILLO DOBLE O,0,0,3
122029,2023,Enero,1,CARRETE  3.1   14 MM X 19300 LOOPS BLANCO,ANILLO DOBLE O,1,343140,0
122030,2023,Enero,1,CARRETE  3.1   14 MM X 19300 LOOPS NEGRO,ANILLO DOBLE O,3,1029420,33
122031,2023,Enero,1,CARRETE  3.1   14 MM X 19300 LOOPS PLATA,ANILLO DOBLE O,1,414500,2
122081,2023,Enero,1,DOBLE O CARTA 2.1    8 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,0,0,250
122082,2023,Enero,1,DOBLE O CARTA 2.1    8 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0,308
122083,2023,Enero,1,DOBLE O CARTA 2.1    9 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,52,1563000,258
122084,2023,Enero,1,DOBLE O CARTA 2.1    9 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0,248
122085,2023,Enero,1,DOBLE O CARTA 2.1   12 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,40,1680000,39
122086,2023,Enero,1,DOBLE O CARTA 2.1   12 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0,235
122087,2023,Enero,1,DOBLE O CARTA 2.1   14 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,1,58000,267
122088,2023,Enero,1,DOBLE O CARTA 2.1   14 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,1,52200,225
122089,2023,Enero,1,DOBLE O CARTA 2.1   16 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,12,418000,390
122090,2023,Enero,1,DOBLE O CARTA 2.1   16 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,4,136800,329
122091,2023,Enero,1,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,14,585000,342
122112,2023,Enero,1,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BRONCE,ANILLO DOBLE O,0,0,0
122092,2023,Enero,1,DOBLE O CARTA 2.1   19 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,9,375750,359
122093,2023,Enero,1,DOBLE O CARTA 2.1   22 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,15,855500,253
122094,2023,Enero,1,DOBLE O CARTA 2.1   22 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,3,165200,78
122095,2023,Enero,1,DOBLE O CARTA 2.1   25 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,1,71500,313
122096,2023,Enero,1,DOBLE O CARTA 2.1   25 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,2,128700,218
122097,2023,Enero,1,DOBLE O CARTA 2.1   28 MM  CAJA X 30 BLANCO,ANILLO DOBLE O,1,71500,400
122098,2023,Enero,1,DOBLE O CARTA 2.1   28 MM  CAJA X 30 NEGRO,ANILLO DOBLE O,2,128700,357
122099,2023,Enero,1,DOBLE O CARTA 2.1   32 MM  CAJA X 30 BLANCO,ANILLO DOBLE O,1,79000,358
122100,2023,Enero,1,DOBLE O CARTA 2.1   32 MM  CAJA X 30 NEGRO,ANILLO DOBLE O,2,142200,182
122101,2023,Enero,1,DOBLE O CARTA 3.1    8 MM   CAJA X 100 BLANCO,ANILLO DOBLE O,30,803250,362
122102,2023,Enero,1,DOBLE O CARTA 3.1    8 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0,288
122103,2023,Enero,1,DOBLE O CARTA 3.1    9 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,25,810000,322
122104,2023,Enero,1,DOBLE O CARTA 3.1    9 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,11,380000,224
122105,2023,Enero,1,DOBLE O CARTA 3.1   11 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,6,288000,426
122106,2023,Enero,1,DOBLE O CARTA 3.1   11 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,5,214625,210
122108,2023,Enero,1,DOBLE O CARTA 3.1   12 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,3,153000,754
122107,2023,Enero,1,DOBLE O CARTA 3.1   12 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,4,197950,265
122109,2023,Enero,1,DOBLE O CARTA 3.1   12 MM  CAJA X 100 PLATA,ANILLO DOBLE O,0,0,182
122110,2023,Enero,1,DOBLE O CARTA 3.1   14 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,0,0,280
122111,2023,Enero,1,DOBLE O CARTA 3.1   14 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,4,264550,273
111001,2023,Enero,1,ROLLO 113 MM X 60 MTS 175 MICRAS,LAMINACION,31,899580,1379
111002,2023,Enero,1,ROLLO 113 MM X 60 MTS 250 MICRAS,LAMINACION,34,1413720,376
111003,2023,Enero,1,ROLLO 226 MM X 60 MTS 125 MICRAS,LAMINACION,437,19347980,612
111004,2023,Enero,1,ROLLO 226 MM X 60 MTS 175 MICRAS,LAMINACION,0,0,162
111005,2023,Enero,1,ROLLO 226 MM X 60 MTS 250 MICRAS,LAMINACION,0,0,0
111007,2023,Enero,1,ROLLO 300 MM X 60 MTS 125 MICRAS,LAMINACION,0,0,0
111008,2023,Enero,1,ROLLO 300 MM X 60 MTS 250 MICRAS,LAMINACION,17,1992000,55
111018,2023,Enero,1,ROLLO 350 MM X 60 MTS 250 MICRAS,LAMINACION,0,0,324
111010,2023,Enero,1,ROLLO 375 MM X 60 MTS 125 MICRAS,LAMINACION,4,310000,212
111013,2023,Enero,1,ROLLO 375 MM X 75 MTS 75 MICRAS MATTE,LAMINACION,0,0,134
111014,2023,Enero,1,ROLLO 450 MM X 75 MTS 75 MICRAS BRILLANTE,LAMINACION,1,78100,33
111019,2023,Enero,1,ROLLO 540 MM X 60 MTS 125 MICRAS,LAMINACION,0,0,0
111020,2023,Enero,1,ROLLO 540 MM X 60 MTS 175 MICRAS,LAMINACION,0,0,0
111016,2023,Enero,1,ROLLO 680 MM X 60 MTS 125 MICRAS BRILLANTE,LAMINACION,16,3326400,166
112001,2023,Enero,1,ROLLO BOPP BRILLANTE 250 MM X 4000 MT 18 MIC,PLASTIFICACION,10,3471500,24
112002,2023,Enero,1,ROLLO BOPP BRILLANTE 300 MM X 4000 MT 18 MIC,PLASTIFICACION,5,2159300,109
112003,2023,Enero,1,ROLLO BOPP BRILLANTE 330 MM X 200 MT 23 MIC,PLASTIFICACION,10,548800,0
112006,2023,Enero,1,ROLLO BOPP BRILLANTE 345 MM X 4000 MT 18 MIC,PLASTIFICACION,29,14044730,137
112026,2023,Enero,1,ROLLO BOPP BRILLANTE 400 MM X 4000 MT 18 MIC,PLASTIFICACION,6,3343200,107
112007,2023,Enero,1,ROLLO BOPP BRILLANTE 445 MM X 4000 MT 18 MIC,PLASTIFICACION,8,4885670,11
112029,2023,Enero,1,ROLLO BOPP BRILLANTE 495 MM X 2000 MT 18 MIC,PLASTIFICACION,2,633600,64
112008,2023,Enero,1,ROLLO BOPP BRILLANTE 495 MM X 4000 MT 18 MIC,PLASTIFICACION,38,25536940,44
112028,2023,Enero,1,ROLLO BOPP BRILLANTE 595 MM X 4000 MT 18 MIC,PLASTIFICACION,5,3192000,44
112009,2023,Enero,1,ROLLO BOPP BRILLANTE 695 MM X 4000 MT 18 MIC,PLASTIFICACION,0,0,0
112024,2023,Enero,1,ROLLO BOPP MATE 200 MM X 4000 MT 18 MIC,PLASTIFICACION,0,0,0
112010,2023,Enero,1,ROLLO BOPP MATE 250 MM X 4000 MT 18 MIC,PLASTIFICACION,14,4662760,65
112011,2023,Enero,1,ROLLO BOPP MATE 300 MM X 4000 MT 18 MIC,PLASTIFICACION,18,7244740,85
112012,2023,Enero,1,ROLLO BOPP MATE 330 MM X 200 MT 23 MIC,PLASTIFICACION,47,2498000,50
112021,2023,Enero,1,ROLLO BOPP MATE 330 MM X 4000 MT 18 MIC,PLASTIFICACION,0,0,0
112013,2023,Enero,1,ROLLO BOPP MATE 330 MM X 500 MT 22 MIC,PLASTIFICACION,2,260000,235
112015,2023,Enero,1,ROLLO BOPP MATE 345 MM X 4000 MT 18 MIC,PLASTIFICACION,49,22596000,59
112025,2023,Enero,1,ROLLO BOPP MATE 400 MM X 4000 MT 18 MIC,PLASTIFICACION,12,6693150,99
112016,2023,Enero,1,ROLLO BOPP MATE 445 MM X 4000 MT 18 MIC,PLASTIFICACION,6,3500370,0
112017,2023,Enero,1,ROLLO BOPP MATE 495 MM X 4000 MT 18 MIC,PLASTIFICACION,36,23751100,194
112018,2023,Enero,1,ROLLO BOPP MATE 595 MM X 4000 MT 18 MIC,PLASTIFICACION,9,5517650,17
112019,2023,Enero,1,ROLLO BOPP MATE 695 MM X 4000 MT 18 MIC,PLASTIFICACION,42,27035100,7
112005,2023,Enero,1,ROLLO SUPERBONDING BRILLANTE 330 MM X 500 MT 30 MIC,PLASTIFICACION,2,404181,73
122041,2023,Enero,1,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 BLANCO,ANILLO DOBLE O,8,3474900,78
122042,2023,Enero,1,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 NEGRO,ANILLO DOBLE O,4,1652400,85
122043,2023,Enero,1,TIRA 2.1 X 64 LOOPS  12MM CAJA X 540 PLATA,ANILLO DOBLE O,0,0,71
122044,2023,Enero,1,TIRA 2.1 X 64 LOOPS  14MM CAJA X 384 BLANCO,ANILLO DOBLE O,7,2962050,27
122045,2023,Enero,1,TIRA 2.1 X 64 LOOPS  14MM CAJA X 384 NEGRO,ANILLO DOBLE O,16,6903855,42
122046,2023,Enero,1,TIRA 2.1 X 64 LOOPS  14MM CAJA X 384 PLATA,ANILLO DOBLE O,0,0,33
122047,2023,Enero,1,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 BLANCO,ANILLO DOBLE O,33,13536133,36
122048,2023,Enero,1,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 BRONCE,ANILLO DOBLE O,20,9600000,25
122049,2023,Enero,1,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 NEGRO,ANILLO DOBLE O,8,3168750,146
122050,2023,Enero,1,TIRA 2.1 X 64 LOOPS  16MM CAJA X 308 PLATA,ANILLO DOBLE O,0,0,64
122051,2023,Enero,1,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 BLANCO,ANILLO DOBLE O,28,12712870,36
122052,2023,Enero,1,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 BRONCE,ANILLO DOBLE O,1,525350,0
122053,2023,Enero,1,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 NEGRO,ANILLO DOBLE O,11,5015090,92
122054,2023,Enero,1,TIRA 2.1 X 64 LOOPS  19MM CAJA X 252 PLATA,ANILLO DOBLE O,3,1511267,13
122055,2023,Enero,1,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 BLANCO,ANILLO DOBLE O,15,6931000,2
122056,2023,Enero,1,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 BRONCE,ANILLO DOBLE O,2,1073500,3
122057,2023,Enero,1,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 NEGRO,ANILLO DOBLE O,0,0,0
122058,2023,Enero,1,TIRA 2.1 X 64 LOOPS  22MM CAJA X 192 PLATA,ANILLO DOBLE O,10,5053440,16
122059,2023,Enero,1,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 BLANCO,ANILLO DOBLE O,2,688050,55
122077,2023,Enero,1,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 BRONCE,ANILLO DOBLE O,4,1888000,17
122060,2023,Enero,1,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 NEGRO,ANILLO DOBLE O,8,3148350,69
122061,2023,Enero,1,TIRA 2.1 X 64 LOOPS  25MM CAJA X 140 PLATA,ANILLO DOBLE O,0,0,32
122062,2023,Enero,1,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 BLANCO,ANILLO DOBLE O,1,414960,96
122063,2023,Enero,1,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 NEGRO,ANILLO DOBLE O,17,6893120,48
122064,2023,Enero,1,TIRA 2.1 X 64 LOOPS  28MM CAJA X 96 PLATA,ANILLO DOBLE O,0,0,2
122065,2023,Enero,1,TIRA 2.1 X 64 LOOPS  32MM CAJA X 96 BLANCO,ANILLO DOBLE O,2,959595,62
122066,2023,Enero,1,TIRA 2.1 X 64 LOOPS  32MM CAJA X 96 NEGRO,ANILLO DOBLE O,0,0,66
131008,2023,Enero,1,VARILLA MEDIA LUNA  10 CM X 100 BLANCO,ANILLO DOBLE O,32,416000,2414
131007,2023,Enero,1,VARILLA MEDIA LUNA  10 CM X 100 NEGRO,ANILLO DOBLE O,2,26000,1235
131010,2023,Enero,1,VARILLA MEDIA LUNA  15 CM X 100 BLANCO,ANILLO DOBLE O,32,544000,1610
131009,2023,Enero,1,VARILLA MEDIA LUNA  15 CM X 100 NEGRO,ANILLO DOBLE O,1,17000,799
131033,2023,Enero,1,VARILLA MEDIA LUNA  20 CM X 100 BLANCO,ANILLO DOBLE O,1,21000,228
131034,2023,Enero,1,VARILLA MEDIA LUNA  20 CM X 100 NEGRO,ANILLO DOBLE O,1,21000,396
131017,2023,Enero,1,YOYO ORIGINAL CAJA X 50 AMARILLO,VARIOS,0,0,48
131018,2023,Enero,1,YOYO ORIGINAL CAJA X 50 AZUL,VARIOS,20,1120000,514
131019,2023,Enero,1,YOYO ORIGINAL CAJA X 50 BLANCO,VARIOS,0,0,0
131020,2023,Enero,1,YOYO ORIGINAL CAJA X 50 NEGRO,VARIOS,0,0,798
131021,2023,Enero,1,YOYO ORIGINAL CAJA X 50 ROJO,VARIOS,0,0,224
131022,2023,Enero,1,YOYO ORIGINAL CAJA X 50 VERDE,VARIOS,0,0,310
131012,2023,Febrero,2,ACETATOS CARTA PAQ X 50,VARIOS,22,267300,1156
113001,2023,Febrero,2,BOLSILLO CARNET 60 X 90 MM 175 MIC CAJA X 100,LAMINACION,0,0,0
113005,2023,Febrero,2,BOLSILLO CARTA 225MM X 288MM 125 MIC CAJA X 100,LAMINACION,1014,43335600,7454
113006,2023,Febrero,2,BOLSILLO CARTA 225MM X 288MM 175 MIC CAJA X 100,LAMINACION,52,3345252,3212
113007,2023,Febrero,2,BOLSILLO CARTA 225MM X 288MM 250 MIC CAJA X 50,LAMINACION,219,10590710,285
113002,2023,Febrero,2,BOLSILLO CEDULA 70 X 100 MM 175 MIC CAJA X 100,LAMINACION,517,3615150,4315
113008,2023,Febrero,2,BOLSILLO OFICIO 225MM X 337MM 125 MIC CAJA X 100,LAMINACION,462,22834500,2095
113003,2023,Febrero,2,BOLSILLO TARJETA PROPIEDAD 80 X 110 MM 175 MIC CAJA X 100,LAMINACION,93,794300,10530
121009,2023,Febrero,2,CARATULA CARTA GRAIN PAQ X 50 AZUL,CARATULA,0,0,0
121010,2023,Febrero,2,CARATULA CARTA GRAIN PAQ X 50 NEGRO,CARATULA,0,0,0
121034,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 AMARILLO,CARATULA,471,5470940,1261
121017,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 AZUL T-1,CARATULA,310,3753340,38
121018,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 AZUL T-2,CARATULA,694,7845000,2690
121019,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 HUMO,CARATULA,344,4174100,2365
121020,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 LILA,CARATULA,572,6695700,642
121021,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 NARANJA,CARATULA,301,3421140,1679
121022,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 ROJO,CARATULA,390,4711440,1571
121023,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 TRANSPARENTE,CARATULA,3298,37748800,6584
121024,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 VERDE T-1,CARATULA,298,3599240,2027
121025,2023,Febrero,2,CARATULA CARTA STRIPE PAQ X 50 VERDE T-2,CARATULA,127,1536000,5092
121032,2023,Febrero,2,CARATULA LEGAL STRIPE PAQ X 50 TRANSPARENTE,CARATULA,4,280000,942
121030,2023,Febrero,2,CARATULA OFICIO STRIPE PAQ X 50 TRANSPARENTE,CARATULA,1340,17696600,692
121031,2023,Febrero,2,CARATULA OFICIO STRIPE PAQ X 50 VERDE T-2,CARATULA,70,976500,251
122009,2023,Febrero,2,CARRETE  2.1   16 MM X 10500 LOOPS BLANCO,ANILLO DOBLE O,16,4599000,3
122010,2023,Febrero,2,CARRETE  2.1   16 MM X 10500 LOOPS NEGRO,ANILLO DOBLE O,3,913500,32
122011,2023,Febrero,2,CARRETE  2.1   16 MM X 10500 LOOPS PLATA,ANILLO DOBLE O,0,0,9
122013,2023,Febrero,2,CARRETE  2.1   19 MM X 7000 LOOPS BLANCO,ANILLO DOBLE O,0,0,0
122016,2023,Febrero,2,CARRETE  2.1   19 MM X 7000 LOOPS BRONCE,ANILLO DOBLE O,0,0,2
122014,2023,Febrero,2,CARRETE  2.1   19 MM X 7000 LOOPS NEGRO,ANILLO DOBLE O,0,0,0
122015,2023,Febrero,2,CARRETE  2.1   19 MM X 7000 LOOPS PLATA,ANILLO DOBLE O,0,0,20
122017,2023,Febrero,2,CARRETE  3.1    8 MM X 60000 LOOPS BLANCO,ANILLO DOBLE O,0,0,0
122018,2023,Febrero,2,CARRETE  3.1    8 MM X 60000 LOOPS NEGRO,ANILLO DOBLE O,0,0,24
122019,2023,Febrero,2,CARRETE  3.1    8 MM X 60000 LOOPS PLATA,ANILLO DOBLE O,0,0,21
122020,2023,Febrero,2,CARRETE  3.1    9 MM X 43000 LOOPS BLANCO,ANILLO DOBLE O,0,0,1
122021,2023,Febrero,2,CARRETE  3.1    9 MM X 43000 LOOPS BRONCE,ANILLO DOBLE O,0,0,39
122022,2023,Febrero,2,CARRETE  3.1    9 MM X 43000 LOOPS NEGRO,ANILLO DOBLE O,2,792300,2
122023,2023,Febrero,2,CARRETE  3.1    9 MM X 43000 LOOPS PLATA,ANILLO DOBLE O,1,443000,31
122024,2023,Febrero,2,CARRETE  3.1   11 MM X 32000 LOOPS BLANCO,ANILLO DOBLE O,0,0,0
122025,2023,Febrero,2,CARRETE  3.1   11 MM X 32000 LOOPS NEGRO,ANILLO DOBLE O,6,2120580,5
122026,2023,Febrero,2,CARRETE  3.1   12 MM X 24000 LOOPS BLANCO,ANILLO DOBLE O,0,0,0
122027,2023,Febrero,2,CARRETE  3.1   12 MM X 24000 LOOPS NEGRO,ANILLO DOBLE O,0,0,1
122028,2023,Febrero,2,CARRETE  3.1   12 MM X 24000 LOOPS PLATA,ANILLO DOBLE O,0,0,3
122029,2023,Febrero,2,CARRETE  3.1   14 MM X 19300 LOOPS BLANCO,ANILLO DOBLE O,0,0,0
122030,2023,Febrero,2,CARRETE  3.1   14 MM X 19300 LOOPS NEGRO,ANILLO DOBLE O,1,361200,32
122031,2023,Febrero,2,CARRETE  3.1   14 MM X 19300 LOOPS PLATA,ANILLO DOBLE O,0,0,2
122081,2023,Febrero,2,DOBLE O CARTA 2.1    8 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,0,0,250
122082,2023,Febrero,2,DOBLE O CARTA 2.1    8 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,3,79500,305
122083,2023,Febrero,2,DOBLE O CARTA 2.1    9 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,5,157500,253
122084,2023,Febrero,2,DOBLE O CARTA 2.1    9 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,24,683550,224
122085,2023,Febrero,2,DOBLE O CARTA 2.1   12 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,10,396000,29
122086,2023,Febrero,2,DOBLE O CARTA 2.1   12 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,14,558800,221
122087,2023,Febrero,2,DOBLE O CARTA 2.1   14 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,3,174000,264
122088,2023,Febrero,2,DOBLE O CARTA 2.1   14 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,20,1044000,205
122089,2023,Febrero,2,DOBLE O CARTA 2.1   16 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,48,1672000,342
122090,2023,Febrero,2,DOBLE O CARTA 2.1   16 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,71,2426300,258
122091,2023,Febrero,2,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,16,675000,326
122112,2023,Febrero,2,DOBLE O CARTA 2.1   19 MM  CAJA X 50 BRONCE,ANILLO DOBLE O,0,0,0
122092,2023,Febrero,2,DOBLE O CARTA 2.1   19 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,23,967500,336
122093,2023,Febrero,2,DOBLE O CARTA 2.1   22 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,2,118000,251
122094,2023,Febrero,2,DOBLE O CARTA 2.1   22 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,11,619500,67
122095,2023,Febrero,2,DOBLE O CARTA 2.1   25 MM  CAJA X 50 BLANCO,ANILLO DOBLE O,1,71500,312
122096,2023,Febrero,2,DOBLE O CARTA 2.1   25 MM  CAJA X 50 NEGRO,ANILLO DOBLE O,9,589875,209
122097,2023,Febrero,2,DOBLE O CARTA 2.1   28 MM  CAJA X 30 BLANCO,ANILLO DOBLE O,0,0,400
122098,2023,Febrero,2,DOBLE O CARTA 2.1   28 MM  CAJA X 30 NEGRO,ANILLO DOBLE O,0,0,357
122099,2023,Febrero,2,DOBLE O CARTA 2.1   32 MM  CAJA X 30 BLANCO,ANILLO DOBLE O,0,0,358
122100,2023,Febrero,2,DOBLE O CARTA 2.1   32 MM  CAJA X 30 NEGRO,ANILLO DOBLE O,15,1046500,167
122101,2023,Febrero,2,DOBLE O CARTA 3.1    8 MM   CAJA X 100 BLANCO,ANILLO DOBLE O,5,133875,357
122102,2023,Febrero,2,DOBLE O CARTA 3.1    8 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,8,228375,280
122103,2023,Febrero,2,DOBLE O CARTA 3.1    9 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,11,410000,311
122104,2023,Febrero,2,DOBLE O CARTA 3.1    9 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,13,460000,211
122105,2023,Febrero,2,DOBLE O CARTA 3.1   11 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,0,0,426
122106,2023,Febrero,2,DOBLE O CARTA 3.1   11 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,0,0,210
